descriptor,displayName,blockchainProtocolId,nativeAsset
GLMR,Moonbeam,ETH,GLMR_GLMR
BASECHAIN_ETH,Base,ETH,BASECHAIN_ETH
MANTLE_TEST,Mantle Sepolia,ETH,MANTLE_TEST
DFCRC_CBDC_DEV,DFCRC CBDC DEV Network,ETH,DFCRC_CBDC_DEV
TON,TON,TON,TON
ASTAR_ZK_TEST,Astar zKatana Testnet,ETH,ASTAR_ZK_TEST
LTC,Litecoin,BTC,LTC
REDBELLY,Redbelly,ETH,REDBELLY
AEVO,Aevo,ETH,AEVO
BLAST,BLAST,ETH,BLAST
GNOSIS,Gnosis,ETH,XDAI
BITKUB_TEST,Bitkub Chain Testnet,ETH,KUB_BITKUB_TEST
ETH_TEST4,Ethereum Testnet Rinkeby,ETH,ETH_TEST4
XDB_TEST,XDB Chain Testnet,XDB,XDB_TEST
RSK_TEST,RSK Testnet,ETH,RBTC_TEST
PALM,Palm,ETH,PALM
COS_TEST_USD,Cross River USD Test,BANK,COS_TEST_USD
BPW_TEST,DREX Besu Testnet Network,ETH,BPW_TEST
ETH_NAHMII_TEST,Nahmii Testnet,ETH,ETH_NAHMII_TEST
PEAQ,peaq,ETH,PEAQ
SIGNET_TEST_USD,Signet Test,BANK,SIGNET_TEST_USD
BLINC_GBP,BLINC by BCB Group,BANK,BLINC_GBP
BLINC_TEST_JPY,BLINC Test,BANK,BLINC_TEST_JPY
APECHAIN,ApeChain,ETH,APECHAIN
SONIC_TEST,Sonic Testnet,ETH,SONIC_TEST
LTC_TEST,Litecoin Testnet,BTC,LTC_TEST
HYPE_ETH,HyperEVM,ETH,HYPE_ETH
XRP,Ripple,XRP,XRP
ZIRCUIT_ETH,Zircuit,ETH,ZIRCUIT_ETH
CTXC,Cortex,ETH,CTXC_CTXC
ZEC,ZCash,BTC,ZEC
CELESTIA_TEST,Celestia Testnet,COSMOS,CELESTIA_TEST
IMX_ZKEVM,Immutable zkEVM,ETH,IMX_ZKEVM
APTOS,Aptos,APTOS,APTOS
DTCC_LH_TEST,DTCC Launchpad Higher ,ETH,DTCC_LH_TEST
CS_SILICON_QA,Silicon QA,ETH,CS_SILICON_QA
CS_SILICON_UAT,Silicon UAT,ETH,CS_SILICON_UAT
DYDX_DYDX,DYDX,COSMOS,DYDX_DYDX
SONGBIRD_LEGACY,Songbird Canary-Network (Legacy derivation),ETH,SGB_LEGACY
DTCC_LQA_TEST,Hermes QA,ETH,DTCC_LQA_TEST
BLINC_CHF,BLINC by BCB Group,BANK,BLINC_CHF
WEMIX_TEST,WEMIX Testnet,ETH,WEMIX_TEST
CHZ2_TEST,Chiliz Chain Testnet,ETH,CHZ_CHZ2_TEST
SONIC,Sonic,ETH,SONIC
CS_SILICON_TEST,Silicon Dev,ETH,CS_SILICON_TEST
ETC_TEST,Ethereum Classic Testnet Mordor,ETC,ETC_TEST
VLX_TEST,Velas Testnet,ETH,VLX_TEST
PEERACCOUNTTRANSFER_USD,USD (Peer Transfer),BANK,PEERACCOUNTTRANSFER_USD
ETH_NAHMII,Nahmii,ETH,ETH_NAHMII
CENTRIFUGE,Centrifuge,ETH,CFG
ARB_SEPOLIA,Arbitrum Testnet Sepolia,ETH,ETH-AETH_SEPOLIA
AXL_TEST,Axelar Testnet,COSMOS,AXL_TEST
ANZ_UAT,ANZ ETH UAT,ETH,ETH-ANZ_UAT
CANTO,Canto,ETH,CANTO
VLX,Velas,ETH,VLX_VLX
ZKEVM,Polygon zkEVM,ETH,ETH_ZKEVM
OPT,Optimism,ETH,ETH-OPT
DSETH_DEV,dSETH (Dev),ETH,DSETH_DEV
BOB_CHAIN_TEST,Bob Testnet,ETH,BOB_CHAIN_TEST
PHILCAP_TEST,Phillip Capital Network (Testnet),ETH,PHILCAP_TEST
ECS,eCredits,ETH,ECS
ADA_TEST,Cardano Testnet,ADA,ADA_TEST
ARB_ETH_TEST2,Arbitrum Testnet Kovan,ETH,ARB_ETH_TEST2
ADA,Cardano,ADA,ADA
TELOS,Telos EVM,ETH,TELOS
OSMO,Osmosis,COSMOS,OSMO
BLINC_JPY,BLINC by BCB Group,BANK,BLINC_JPY
DOGE_TEST,Dogecoin Testnet,BTC,DOGE_TEST
ALEPH_ZERO_EVM,Aleph Zero EVM,ETH,ALEPH_ZERO_EVM
BTC,Bitcoin,BTC,BTC
TRX,TRON,TRX,TRX
DASH_TEST,Dash Testnet,BTC,DASH_TEST
BLINC_EUR,BLINC by BCB Group,BANK,BLINC_EUR
ZIRCUIT_ETH_TEST,Zircuit Testnet,ETH,ZIRCUIT_ETH_TEST
ASIANXT_BESU,AsiaNext Besu,ETH,ASIANXT_BESU
ATOM_COS,Cosmos Hub,COSMOS,ATOM_COS
CELO_BAKLAVA,Celo Baklava Testnet,ETH,CELO_BAK
NEAR,NEAR Protocol,NEAR,NEAR
EOS_TEST,EOS.IO Testnet,EOS,EOS_TEST
ETH_TEST3,Ethereum Testnet Goerli,ETH,ETH_TEST3
CBS_TEST,ANZ Test Avalanche Subnet,ETH,CBS_TEST
GNOSIS_TEST,Gnosis Testnet,ETH,XDAI_TEST
BCH,Bitcoin Cash,BTC,BCH
VICTION,Viction,ETH,VICTION
DV4TNT_TEST,DYDX Testnet,COSMOS,DV4TNT_TEST
USDC_NOBLE_TEST,USDC Noble Testnet,COSMOS,USDC_NOBLE_TEST
MOVR,Moonriver,ETH,MOVR_MOVR
BLINC_TEST_EUR,BLINC Test,BANK,BLINC_TEST_EUR
BTC_TEST,Bitcoin Testnet,BTC,BTC_TEST
ZKEVM_TEST,zkEVM Testnet,ETH,ETH_ZKEVM_TEST
LUNA,Terra Classic,TERRA,LUNA
TASE_LIVE,TASE Production LIVE Network,ETH,TASE_LIVE
ARB,Arbitrum One,ETH,ETH-AETH
UNICHAIN_ETH,Unichain,ETH,UNICHAIN_ETH
PT3_TEST,Private Token 3,ETH,PT3_TEST
OAS,Oasys,ETH,OAS
HT_TEST,HT Chain Testnet,ETH,HT_CHAIN_TEST
BITKUB,Bitkub Chain,ETH,KUB_BITKUB
XDC,XinFin Network,ETH,XDC
SNC_DEV,dSNC,ETH,SNC_DEV
SEN_USD,SEN by Silvergate,BANK,SEN_USD
ECS_TEST,eCredits Testnet,ETH,ECS_TEST
BERACHAIN_ARTIO_TEST,Berachain Artio Test,ETH,BERACHAIN_ARTIO_TEST
FASTEX_BAHAMUT,Fastex Bahamut,ETH,FASTEX_BAHAMUT
TELOS_TEST,Telos EVM Test,ETH,TELOS_TEST
CODEFI_CNVAS,Codefi,ETH,CODEFI_CNVAS
INJ_TEST,Injective Testnet,COSMOS,INJ_TEST
JCY_TEST,JCY Private Network (Test),ETH,JCY_TEST
CAMINO,Camino,ETH,CAMINO
SIGNET_USD,Signet by Signature,BANK,SIGNET_USD
REDBELLY_TEST,Redbelly Test,ETH,REDBELLY_TEST
CBDC_DEV,CBDC Devnet,ETH,CBDC_DEV
ALGO_TEST,Algorand Testnet,ALGO,ALGO_TEST
SOL_TEST,Solana Devnet,SOL,SOL_TEST
PEERACCOUNTTRANSFER_EUR,EUR (Peer Transfer),BANK,PEERACCOUNTTRANSFER_EUR
CELO_ALFAJORES,Celo Alfajores Testnet,ETH,CELO_ALF
